,name,creation_timestamp,description,latitude,longitude,modified_timestamp,orientation,original_height,original_width,taken_timestamp,uri
97,LaMar's Donuts,1574742214,"LaMar's Donuts
133 McCaslin Blvd
Louisville, CO 80027

It's a small chain (maybe 30 locations in 4 states) so I'll let it slide... good donuts and coffee.",39.970213888889,-105.16403333333,,,,1000.0,1574657127,photos_and_videos/Donutselfies_bMxPRLTyVg/77390659_10107590155444477_5651810003825197056_o_10107590155424517.jpg
79,Lucky Donuts,1534619147,"Lucky Donuts 
565 Dutton Ave
San Leandro, CA

They sell more lottery tickets than donuts which is a shame because my chocolate raised was great.",37.733538888889,-122.15186388889,,1,0,0,,photos_and_videos/Donutselfies_10103384416189657/39442782_10106647463925837_3960768692333051904_n_10106647463920847.jpg
78,Lee's Donuts,1534616491,"Lee's Donuts
5412 San Pablo Ave
Oakland, CA

Perfectly cooked (nice and crispy) old-fashionable that was let down by the chocolate. Still good though.",37.838005555556,-122.28176944444,,1,0,0,,photos_and_videos/Donutselfies_10103384416189657/39580521_10106647390048887_3684363726946828288_n_10106647390043897.jpg
77,Maple Leaf Donuts,1522021460,"Maple Leaf Donuts 
2329 S Winchester Blvd
Campbell, CA

I had a chocolate old fashioned and chocolate raised which were both pretty good. The coffee, per donut shop tradition, was dreadful.",37.280875,-121.95004166667,,1,0,0,,photos_and_videos/Donutselfies_10103384416189657/29597211_10106363028716277_5102087088421878757_n_10106363028716277.jpg
76,Peejays Donuts,1520952503,"Peejays Donuts 
Vijzelgracht 37
Amsterdam, Netherlands

It's a hipster place with raised donuts with assorted toppings but no chocolate. I had a glazed. Photo by @[1540208203:2048:Kinsey Hartong-Redden]. Thanks!",52.360827777778,4.8914611111111,,1,0,0,,photos_and_videos/Donutselfies_10103384416189657/29136599_10106334718435307_6112222028280889344_n_10106334718395387.jpg
75,Bakker Bart,1520704362,"Bakker Bart
Lijnbaan 67
3012 EL Rotterdam
Netherlands

I had a sugar donut. It was that weird cake-raised hybrid, fluffy but dense.",51.921469444444,4.4766916666667,,1,0,0,,photos_and_videos/Donutselfies_10103384416189657/28951558_10106328333256257_324087958594387968_n_10106328333251267.jpg
74,Bob's Donuts,1519000394,"Bob's Donuts 
1621 Polk St
San Francisco, CA

I'm waiting in line.",37.791911111111,-122.42101388889,,1,0,0,,photos_and_videos/Donutselfies_10103384416189657/27971584_10106286562175837_7287066001488544473_n_10106286562175837.jpg
73,Grand Mission Donuts & Bakery,1518316724,"Grand Mission Donuts & Bakery
2195 Mission St
San Francisco, CA

I had a chocolate bar and a chocolate old fashioned; they were pretty good!",37.761822222222,-122.41926666667,,1,0,0,,photos_and_videos/Donutselfies_10103384416189657/27658056_10106270071707867_2625165277596519782_n_10106270071707867.jpg
72,Donuterie,1513956805,"Donuterie 
NÃ¡prstkova 215/9
Prague

It's a tiny coffee shop and art gallery with donuts. Uber European.",50.084252777778,14.416083333333,,1,0,0,,photos_and_videos/Donutselfies_10103384416189657/25592092_10106156371608777_2045380404821064884_n_10106156371608777.jpg
71,Gilroy Donut House,1504370741,"Gilroy Donut House
703 1st St 
Gilroy, CA",37.013663888889,-121.58235833333,,1,0,0,,photos_and_videos/Donutselfies_10103384416189657/21192364_10105895198411957_8656538251760268180_n_10105895198411957.jpg
